Question,Answer,Correctness,Lesson,Comment
Что такое тест-кейс?,"совокупность шагов, конкретных условий и параметров, нужных для проверки работы тестируемой функции или её части.",1,1-3,
Что такое тест-кейс?,небольшая инструкция по проверке работы функции,1,1-3,
Что такое тест-кейс?,кейс для тестирования тестов,0,1-3,"ответ неправильный, потому что тест-кейсы используются для тестирования программного обеспечения, а не для проверки самих тестов"
Что такое тест-кейс?,упаковка для тестовых инструментов,0,1-3,"Неверно, поскольку тест-кейсы не являются упаковкой для инструментов, а скорее описанием тестовых сценариев"
Что такое тест-кейс?,контейнер для тестовых данных,0,1-3,"Тест-кейсы содержат шаги, условия и ожидаемые результаты, но не являются хранилищем данных для тестирования"
Что такое тест-кейс?,разработка программного обеспечения,0,1-3,"Тест-кейсы используются для проверки разработанного программного обеспечения, но не являются самим разработанным программным продуктом"
Что такое тест-кейс?,метод тестирования человека,0,1-3,"Тест-кейсы - это скорее инструкции для тестирования, а не метод, используемый для тестирования людей"
Что такое тест-кейс?,документация для пользователей,0,1-3,"Тест-кейсы предназначены для тестировщиков, чтобы они могли проверить работоспособность программного продукта, а не для пользователей"
Какие атрибуты заполняются на этапе создания тест-кейса?,"ID тест-кейса, Название, Шаги, Ожидаемый результат,Приоритет тест-кейса, Тестовые данные, Предусловия, Постусловия ",1,1-3,
Какие атрибуты заполняются на этапе создания тест-кейса?,"При создании тест-кейса важно определить его уникальный идентификатор (ID), название, шаги для выполнения теста, ожидаемый результат, приоритет, тестовые данные, предусловия и постусловия.",1,1-3,
Какие атрибуты заполняются на этапе создания тест-кейса?,Личные данные тестировщика,0,1-3,"неправильно, так как личные данные тестировщика не имеют отношения к самому тест-кейсу и могут создать проблемы с конфиденциальностью."
Какие атрибуты заполняются на этапе создания тест-кейса?,Размер файла с тест-данными,0,1-3,"неправильно, потому что размер файла с тест-данными не является атрибутом самого тест-кейса, а скорее касается содержимого тест-кейса."
Какие атрибуты заполняются на этапе создания тест-кейса?,Фамилия разработчика,0,1-3,"неправильно, так как фамилия разработчика также не имеет никакого отношения к тест-кейсу, а скорее к процессу разработки."
Какие атрибуты заполняются на этапе создания тест-кейса?,Дата создания тест-кейса,0,1-3,"неправильно, потому что дата создания может меняться, и это не влияет на содержание самого тест-кейса."
Какие атрибуты заполняются на этапе создания тест-кейса?,Статус тест-кейса,0,1-3,"неправильно, потому что статус тест-кейса (например, ""завершен"", ""в процессе"", ""отклонен"" и т. д.) изменяется в ходе выполнения тестирования и не является атрибутом, определяемым на этапе создания."
Какие атрибуты заполняются на этапе создания тест-кейса?,Время выполнения тест-кейса,0,1-3,"Это неправильно, потому что время выполнения тест-кейса зависит от условий выполнения и не фиксировано на этапе создания."
Какие атрибуты заполняются на этапе выполнения тест-кейса?,Фактический результат и Статус тест-кейса ,1,1-3,
Какие атрибуты заполняются на этапе выполнения тест-кейса?,В результате выполнения тест-кейса определяется фактический результат и устанавливается его текущий статус,1,1-3,
Какие атрибуты заполняются на этапе выполнения тест-кейса?,Время начала выполнения тест-кейса,0,1-3,"Время начала выполнения обычно фиксируется в отчете о выполнении тест-кейса, но это не является атрибутом самого тест-кейса"
Какие атрибуты заполняются на этапе выполнения тест-кейса?,Используемое оборудование,0,1-3,"Оборудование, используемое для выполнения тест-кейса, может быть важной информацией, но не является атрибутом самого тест-кейса"
Какие атрибуты заполняются на этапе выполнения тест-кейса?,"Подразделение или отдел, ответственный за выполнение тест-кейса",0,1-3,"Указание ответственного подразделения может быть важно для организации процесса тестирования, но это не атрибут конкретного тест-кейса."
Какие атрибуты заполняются на этапе выполнения тест-кейса?,"Список известных проблем или ошибок, связанных с тест-кейсом",0,1-3,"Хотя список проблем может быть полезным для понимания контекста выполнения тест-кейса, это не является атрибутом самого тест-кейса."
Какие атрибуты заполняются на этапе выполнения тест-кейса?,Результат выполнения тест-кейса,0,1-3,"Результат выполнения тест-кейса (пройден/не пройден) фиксируется после выполнения, а не во время его выполнения."
Какие атрибуты заполняются на этапе выполнения тест-кейса?,Уровень приоритета тест-кейса.,0,1-3,"Приоритет тест-кейса обычно определяется до его выполнения и не является атрибутом, который заполняется на этапе выполнения."
Какие есть плюсы у тест-кейсов?,За счёт полной детализации шагов тест-кейсы может проходить новичок. По ним удобно знакомиться с продуктом,1,1-3,
Какие есть плюсы у тест-кейсов?,"Достаточно подробное описание бизнес-логики. При неидеальной организации хранения требований уточнение некоторых моментов проще будет найти в тест-кейсах.
",1,1-3,
Какие есть плюсы у тест-кейсов?,Тест-кейсы делают программное обеспечение более красочным,0,1-3,"ответ неверен, так как тест-кейсы представляют собой инструмент для проверки функциональности ПО, а не для украшения его внешнего вида"
Какие есть плюсы у тест-кейсов?,Тест-кейсы помогают сделать разработчиков более счастливыми,0,1-3,"хотя тест-кейсы могут помочь выявить ошибки в ранних стадиях разработки, они не прямо влияют на уровень счастья разработчиков"
Какие есть плюсы у тест-кейсов?,Тест-кейсы позволяют сократить время разработки программного обеспечения,0,1-3,"ответ неверен, поскольку создание тест-кейсов требует дополнительного времени и усилий, хотя и может ускорить процесс тестирования"
Какие есть плюсы у тест-кейсов?,Тест-кейсы являются идеальным решением для всех типов программного обеспечения,0,1-3,"В некоторых случаях, особенно при работе с непредсказуемым или сложным программным обеспечением, тест-кейсы могут быть недостаточно эффективными"
Какие есть плюсы у тест-кейсов?,Тест-кейсы могут полностью исключить необходимость тестирования программного обеспечения вручную,0,1-3,"ответ неверен, так как некоторые аспекты тестирования все еще требуют ручной проверки и анализа, который не может быть автоматизирован"
Какие есть плюсы у тест-кейсов?,Тест-кейсы являются гарантией от всех возможных ошибок в программном обеспечении,0,1-3,"Тест-кейсы помогают выявлять ошибки, но не могут гарантировать, что все ошибки будут найдены, особенно в сложных системах"
Какие минусы у тест-кейсов?,"Нужно больше времени на написание, чем для чек-листов.",1,1-3,
Какие минусы у тест-кейсов?,"Сложно поддерживать. Если изменится бизнес-логика, будут переименованы разделы или произойдут другие изменения, затрагивающие пользовательский интерфейс и сценарии использования системы, нужно будет актуализировать все тест-кейсы, связанные с измененной частью. ",1,1-3,
Какие минусы у тест-кейсов?,"Тест-кейсы слишком эффективны, что приводит к излишней надежности программного обеспечения",0,1-3,"Тест-кейсы не могут быть слишком эффективными, поскольку их цель - выявить ошибки и недочеты в программном обеспечении"
Какие минусы у тест-кейсов?,"Тест-кейсы создают ложное чувство безопасности у разработчиков, делая их менее внимательными к возможным проблемам",0,1-3,"ответ неправильный, поскольку тест-кейсы служат инструментом для выявления проблем, а не для умаляния их значимости"
Какие минусы у тест-кейсов?,Использование тест-кейсов требует слишком больших затрат времени и ресурсов,0,1-3,"Хотя создание и выполнение тест-кейсов требует времени и усилий, их использование обычно оправдывает себя за счет улучшения качества программного обеспечения"
Какие минусы у тест-кейсов?,"Тест-кейсы могут привести к упрощению процесса тестирования, игнорируя некоторые важные аспекты программного обеспечения",0,1-3,"ответ неправильный, так как тест-кейсы должны быть разработаны таким образом, чтобы покрывать все критические аспекты программного обеспечения"
Какие минусы у тест-кейсов?,Тест-кейсы могут затруднять внесение изменений в программное обеспечение из-за их жесткой структуры,0,1-3,"Неверно. Хотя тест-кейсы могут требовать пересмотра при внесении изменений в программное обеспечение, это не должно представлять собой значительную проблему, если тесты правильно организованы"
Какие минусы у тест-кейсов?,"Тест-кейсы могут создавать ложные срабатывания, что приводит к недостаточной доверительности к результатам тестирования",0,1-3,"Этот ответ также неправильный, потому что тест-кейсы разрабатываются для минимизации ложных срабатываний и обеспечения точности результатов тестирования"
Что такое тест-дизайн?,"этап тестирования ПО, на котором проектируются и создаются тестовые случаи (тест-кейсы)",1,1-4,
Что такое тест-дизайн?,"процесс планирования, создания и организации тестов для проверки функциональности программного обеспечения или системы. Он включает определение целей тестирования, выбор тестовых случаев, создание тестовых сценариев и оценку результатов тестирования.",1,1-4,
Что такое тест-дизайн?,процесс создания красивых и привлекательных макетов для различных тестов.,0,1-4,"Неправильно, потому что тест-дизайн связан с разработкой структуры и методологии тестирования, а не только с визуальным оформлением"
Что такое тест-дизайн?,"это специальный вид искусства, где художники создают уникальные изображения для тестовых заданий.",0,1-4,"это неправильно. Тест-дизайн относится к разработке сценариев, вопросов и методов для тестирования программного обеспечения или продуктов."
Что такое тест-дизайн?,процесс определения наилучших методов обмана или обхода различных тестовых систем,0,1-4,"Это неверно. Тест-дизайн направлен на разработку стратегий и сценариев для эффективного тестирования, а не на обход или обман системы."
Что такое тест-дизайн?,это разработка моделей и макетов для проведения модельных исследований в области дизайна.,0,1-4,"Не совсем. Тест-дизайн в контексте программного обеспечения связан с планированием и созданием тестовых случаев, а не с дизайном."
